ID,Data,Love,Joy,Surprise,Anger,Sadness,Fear
5454,লকাল বাস ভালো এটা থেকে ,0,0,0,0,1,0
22549,কত অভিজানই তো চলে কিন্তু ওয়াসার পানির অভিজান করে না কেন ,0,0,0,0,1,0
7033,বিয়ের মহল ছেড়ে তিনি বিস্রাম নিতে চলে যান  নং ছবি বিয়ের  দিন পর মারা যান এই নব বধু ,0,0,0,1,0,0
21114,চাচাজি তো কেবল মাকে ধর্ষণ করেছেন ,0,0,0,0,1,0
23683,সত্যিকার মানুষ তারাই ভাই ,0,1,0,0,0,0
19667,ভালবাসা আরো হাগার গুণ বেড়ে গেল ,1,1,0,0,0,0
3182,ভাই নিজের সফটওয়্যার গুলোর প্রচার সহজে করে ফেলছেন ভালোই ,0,1,0,0,0,0
6417,স্যার আমি আপনার এই নিয়ম এ স্কুল এ লিখেছিলাম কিন্তূ কেটে দিয়েছে ,0,0,0,1,0,0
19041,খেলতে না পারলে এটাই বলে বাংলাদেশ ,0,0,0,1,0,0
18001,নিজ হাতে গড়া মোর কাঁচা ঘর ,0,1,0,0,0,0
18671,অসাধারণ ধন্যবাদ অমি ভাই সহ পুরো ব্যাচেলর টিম কে ,0,1,0,0,0,0
27367,বাহ গানটা তো মজার  ,0,1,0,0,0,0
11349,রানা ভাইরাল হইছে বলেতার পড়ালেখার খরচ নিতে চাচ্ছো ,0,0,0,0,1,0
8201,আমি বুঝি  আমি যখন কলেজে দ্বিতীয় বর্ষে তখন তো আমি গরিব ছেলেদের আমি কলেজে থাকা ,0,0,0,1,0,0
19120,ভালোবাসার আরেক নাম প্রিয় নবী হযরত মুহাম্মদ  সাঃ ,1,0,0,0,0,0
10666,দেশ থেকে চলে এসে এখন আমি যে তার পাশে দাঁড়িয়ে আছি এটা যে সত্যি ,1,1,0,0,0,0
9241,একদম বাজে নাটক জমজ  বেশি অর্ধ্যেকেই ব্যাকরাউন্ড ইডিট করা ,0,0,0,0,1,0
27663,তাদের প্রায় শ কোটি ব্যবহারকারীর অ্যাকাউন্ট থেকে হ্যাকাররা তথ্য হাতিয়ে নিয়েছে এক বিবৃতিতে ইয়াহু জানায় ,0,0,1,1,0,1
12546,গত কয়েক বছর ধরে আলবেসিলেস্তেদের হয়ে আছেন সেরা ফর্মে মেসি হিগুয়েইনদের জন্য স্পেস তৈরী করতে যার জুড়ি নেই দলে  লাভেজ্জি  উইঙ্গার ,0,1,0,0,0,0
13565,মাদারচোদ পদ্মা সেতুই বানাইতে দম যায় আর আসে আবার পদ্মার চেয়েও বড় সেতু কি গাজা বিক্রি করে বানাবেআদিখ্যেতা  ,0,0,0,0,1,0
18495,দেশে নির্বাচন ব্যাবস্থা উঠে গিয়ে সিলেকশন ব্যাবস্থার উদ্ভব হয়েছে বুবু যাকে সিলেক্ট করবে সেই মেয়র সেই সংসদ সদস্য আল্লাহ আমাদের দেশকে হেফাজত করুন ,0,0,0,0,1,0
17250,অন্তরে শুধু তুমি ,1,0,0,0,0,0
21877,ভালবেসে বিয়ে করেছেন একজন এসিড দগ্ধ নারীকে সম্প্রতি তাদের কোল জুড়ে এসেছে ফুট ফুটে সন্তান অলোক প্রমাণ করেছেন মানুষের চেহারাই সব কিছু নয় ,1,1,0,0,0,0
11055,যারা এই ব্লগ এ ডিজলাইক দিলো তারা হলো  উগান্ডার বাসিন্দা ,0,0,0,0,1,0
15764,ভাই সেরকম গানটা ,0,1,0,0,0,0
23617,কি বলবো সত্যি ওসাদারন ,0,1,0,0,0,0
23916,আমি চাই ওই বেটার পাসি হওক  আপনার কি বলেন ,0,0,0,0,1,0
5179,নোয়াখালী এসে ব্লগ করর অনুরদ রইলো আফ্রিদি ভাইয়া ,1,0,0,0,0,0
4243,নপুংসক করে দেওয়া হোক ,0,0,0,0,1,0
21654,আপনার কথা গুলা অনেক মজার  ,0,1,0,0,0,0
23480,আমার কথা কখনও কি পড়বে তোমার মনে যদি কখনও খবর পাও আমার চলে যাওয়ার কথা ,0,0,0,1,0,0
1705,সঠিক সিদ্ধান্ত ধন্যবাদ পি এম ,0,1,0,0,0,0
18128,অতিরিক্ত সময়ে যখন মনে হচ্ছিল কারও পা চলছে না ,0,0,0,1,0,0
1541,আফ্রিদি ভাইয়ের শেরওয়ানি তা অনেক সুন্দর ,0,1,0,0,0,0
24679,নটির পুয়াইনতর পুটকির খাল তুলো ডান্ডা দিয়া ,0,0,0,0,1,0
227,আসলে যে খেলে সেই বুঝে খেলাটা কি  ,0,0,0,1,0,0
6902,সত্যি ভালোবাসা করে যার ভেঙে গেছে সেই বুঝতে পারে এই গানের বেথা ,0,0,0,1,0,0
9698,সুন্দর একটা ব্লগ ছিলো🥰 ,1,0,0,0,0,0
11986,আমি চিকন মানুষ ,0,0,0,1,0,0
12544,আমি  টাকা দিয়ে কিনেছি সুলতানি টুপি ,0,1,0,0,0,0
2261,হিহিহি মুই হাচ জানুয়ারি  ,0,1,0,0,0,0
13537,মানুষের দোয়াভালোবাসা নিয়ে সাফল্যের হিমালয় পেরিয়ে যান ,1,0,0,0,0,0
2517,মনে হয় দেশ একনো সাদিন হয় নি আবার যুদ্ধ করতে হবে  ,0,0,0,1,1,0
129,চমক ভাই সত্যিই একটা চমক  ,1,0,0,0,0,0
16265,আপু তোমার গরুর মাংসের রেসেপি চাই ,0,1,0,0,0,0
26943,নুরের আলো মাদিনা চেনেল ,0,1,0,0,0,0
14831,কুনো বিএনপি নাই তবে ভোট দিতে দেয়ার উচিৎ চিলো ,0,0,0,1,0,0
12616,আয়মান রে অনেক ছেলেরা পুটকি মারছে ,0,0,0,0,1,0
11984,তার সুখ মরে যায় সুখী হবার সহজ উপায় বিবেকহীন হওয়া ,0,0,0,1,0,0
7968,অনেক দারুন লাগলো ,1,1,0,0,0,0
21438,কেন হঠাৎ তুমি এলে ,0,0,0,1,0,0
17202,একসাথে দুই খ্যাতকে ভাল্লাগতাসে  ,0,1,0,0,0,0
9264,জীবনে আপনার মত হতে চাই ,1,0,0,0,0,0
23865,অনুষ্ঠান আয়োজন করছে যারা সেই শালারা কি জানো না বাংলাদেশে কি মডেল নাই বিলাতি কুত্তা নিয়ে অনুষ্ঠান করে ,0,0,0,0,1,0
18795,ভাই রোকিয়াকে দেখতে চাই ,0,1,0,0,0,0
1033,পাটিয়ে দিছেন ভাই বলার ভাষা নেই হাশির ঠেলাই খাট বেঙ্গে গেছে  ,0,1,0,0,0,0
1192,ভাইয়া শুধু গাড়ি নিয়ে খেলা যাক ,0,1,0,0,0,0
19744,এই মানুষটিকে সবার সামনে এনে কটিন শান্তি দেওয়া হোক ফাসি দেওয়া হোক এদের ,0,0,0,0,1,0
1830,অনেক অনেক ধন্যবাদ ,1,1,0,0,0,0
8063,আপনার ছোট পোলাপানের মত ন্যাকামি পছন্দ করি না ,0,0,0,0,1,0
25444,মিউজিক টা একদূম বাজে ,0,0,0,0,1,0
5598,দারুন বস সামনে আরো নতুন অনেক চমক দিবে আসা করি ,1,1,0,0,0,0
11818,জীবনে প্রথম স্বপ্নে দেখার ব্যাক্তির সাথে বাস্তবে দেখা হওয়ার কথা  এটাই ওর আর আমার সাথে ম এবং শেষ দেখা  এরই মাঝে কত বর্ষা এলো আর গেলো জানেন ,0,0,0,1,0,0
6512,অসাধারণ পারভেজ ভাই অসাধারণ কম্বিনেশন ডিজে রাহাত ,1,0,0,0,0,0
1133,এই খবর ইন্টারনেটবাহিত হয়ে ছড়িয়ে পড়েছে বিশ্বে তবু মেসিকে বের করতে পারেনি কলকাতার রাস্তাঘাট গঞ্জালো হিগুয়াইন ,0,0,0,0,1,0
1586,কাফিরের বাঁচ্চা আল্লাহ্ তোদের বিচার করবে আল্লাহ্ তোদের বিচার করবেই ইয়া আল্লাহ্ হিদায়াত যদি এদের কপালে না থাকে ,0,0,0,0,1,0
720,এটা মধ্যবিত্তের জন্য নয় সবকিছুর দাম বেশি ,0,0,0,1,0,0
24664,টিভির দর্শক ও অপামর ক্রিকেটপাগলা বাঙ্গালীর কাছে ,0,1,0,0,0,0
3857,বড় মানুষের মনটাও বড় হয় ,1,1,0,0,0,0
7754,ব্যাটা আবুল কোনহানকার ,0,0,0,0,1,0
11775,আপনি পাগল কিন্তু অনেক ভালো খেলোয়াড় ,1,1,0,0,0,0
3066,খুবই মজাদার হাস্যরসিক রাষ্ট্রপতি মানুষটির মধ্যে এতটুকু অহংকার নেই একেবারে সাধাসিধে মাটির মানুষ মনের কথা সকলের সামনে খুলে বলতে ভালোবাসেন বাংলাদেশের রাজনীতিতে না আগে কখনো এত ভালো মানুষ সর্বোচ্চ পদে ছিল না ভবিষ্যতে থাকবে আপনার তুলনা শুধুমাত্র আপনিই খুব খুব ভালো থাকুন স্যার সুস্থ থাকুন ভারত থেকে আপনাকে শ্রদ্ধা ও কোটি কোটি প্রণাম স্যার ,1,0,0,0,0,0
7634,ভাইয়া আপনার ভিডিও অনেক ভালো লাগে ভাইয়া আমি আপনার সাথে একবার দেখা করতে চাই ভাইয়া প্লিজ প্লিজ প্লিজ বলেন আমি কোথাই আসবো আর আমার বান্দরবান জেলার আলীকদম আসার আমন্ত্রন রইলো ,1,0,0,0,0,0
7819,আশরাফুলকে দেখতে চাই জাতিয় দলে ,1,0,0,0,0,0
24830,আবিসা মনি শুভ জন্মদিন মনি তুমি ভালো মানুষ হও তোমার জন্য দোয়া করিঅনেক অনেক ভালোবাসা তোমার জন্য মামনি ,1,0,0,0,0,0
12332,কঠিন বাস্তবতা বাস্তবে এই রকম কমই হয় ,0,0,0,1,0,0
8435,সত্যি আজ মন থেকে আপনাকে স্যালুট জানাই ,1,0,0,0,0,0
10151,গল্পটা ভালোই বানান ,0,1,0,0,0,0
6614,ফাসি দেওয়া হক এইটাই বিচার ,0,0,0,0,1,0
22578,দোয়া করি এভাবে জানি সবার মানের আশা পুরনো হয় ,0,1,0,0,0,0
23026,গানটা যত শুনি ততই ভালো লাগে ,0,1,0,0,0,0
26125,বার বার শুনতে ইচ্ছে করে গানটা ,0,1,0,0,0,0
20562,তাদের কে চিত করে শুয়িয়ে সোনার দুটি বিচির মধ্যে পাথর দিয়ে আঘাত করা হোক ,0,0,0,0,1,0
5541,আল্লাহ যেন আকবরের বোনকে ভালো রাখে আর জান্নাতি হবার তৌফিক দান করুক আল্লাহু আমিন ইনশাল্লাহ ,1,0,0,0,0,0
2201,এটা কিভাবে কিনব ,0,0,1,0,0,0
13200,তো আমি কি করতাম ,0,0,0,0,1,0
10176,বাকি রানাদের কে কেউ কিছু করার নাই ,0,0,0,1,0,0
1935,অনেক অনেক ভালো লাগলো নাটক টি ,1,1,0,0,0,0
19442,শুরুতেই ধনের নাটক দেখে খুব মজা পাচ্চি ,0,1,0,0,0,0
28,আমরা বাঙালিরা ও পাগলের মত দেখতে থাকিকোন কিছু হবেনাসবকিছু দেখাবেবাট করবেনা ,0,0,0,1,1,0
21126,ডিজিটাল বাংলাদেশেডিজিটাল রেপ ,0,0,0,0,1,0
22512,ফুটবল রাজা শেখ রাসেল ,0,1,0,0,0,0
22073,এতো টাকা দিয়ে তাদের কাছ থেকে কেন কিনবো ,0,0,0,0,1,0
27983,ব্যাচেলার পয়েন্টও দেখবো কিছু দিনের বিতরেইনশাআল্লাহ ,1,0,0,0,0,0
1848,কেন হিংসে হয়  ,0,0,0,0,1,0
10966,ইনশাল্লাহ মোস্তাফিজুর রহমান  বিশ্বকাপের মধ্যে নিজের সেরাটা ধরে তুলবে আশা করছি ,0,1,0,0,0,0
1330,আর আমি টিউশনি করে নিজের খরচ চালাই তারপরও ওর শর্ত একটাই ,0,0,0,1,0,0
12520,কুমিল্লা বেষ্ট হবে ,1,0,0,0,0,0
6782,ভাই এই প্রথম আপনার ভিডিও দেখলাম আর যা দেখলাম চোখ কপালে উঠার মত ,0,0,1,0,0,0
27489,আরে তোদের পতাকার জন্ম তো আমরাই দিয়েছি বাপের কালে কাপ জিতীশ নি জিতে এমন করছিস ভালো করে ভিডিও দেখ কে কি করেছে ,0,0,0,0,1,0
13183,অনেক ভালো লাগলো গানটা শুনে ,0,1,0,0,0,0
13981,ওই সিরিজে সাকিবভাই বা অন্য কেও দলে ছিলেন না ইন্জুরির জন্য বা অন্য কোনো কারণেপরের সিরিজে উনি ব্যাক করায় কায়েসভাই কেই জায়গা ছেড়ে দিতে হইছেঅাবার জাতীয় লিগে পার্ফম করে গেছেন ,0,0,0,1,0,0
5258,মাগী কে গালি দিলেও খুসি হবে তাই সরকার নিষিদ্ধ করে দেন এসব গান মিউজিক গান ,0,0,0,0,1,0
2137,আওয়ামী লীগ আর পুলিশ একই কুত্তার বাচ্চা এটা সবাই জানে ,0,0,0,0,1,0
5638,একদম ঠিক কথা ভাইয়া ,0,1,0,0,0,0
21504,মানুষের কোনো বিবেন নাই ,0,0,0,1,0,0
26008,চমক গুরু  ,1,1,0,0,0,0
13844,বাসায় উঠে ধরা ধরি করবি পুরাই ডিপজল ডায়লগ ,0,1,0,0,0,0
24158,তবে কেন মিছে এ ভালবাসা গভীর আবেগে আমার চোখে জল এসে গেল আমি সেই জল গোপন করবার জন্য জানালা দিয়ে তাকিয়ে বললাম ,0,0,0,1,0,0
11143,এসব দুষ্কৃতিকারীদের রুখে দিন ,0,0,0,0,1,0
2926,মাইয়্যাডা ছাগলের  নাম্বার বাচ্চার মত লাফায় ক্যা ,0,0,0,0,1,0
9925,ধন্যবাদ সময় টিভি কে ,1,1,0,0,0,0
22242,আপনি যদি ছেলেটার ফোন নাম্বার দিতেন খুব ভালো হইতো ,0,1,0,0,0,0
10380,সরী টো সে দ্যাট মোসারফ করিমের অভার কনফিডেন্স গুলাই দিন দিন তার জনপ্রিয়তায় প্রশ্নবিদ্ধ করবে ,0,0,0,1,0,0
17803,ভাই আমি আপনার বড় ফেন আ ,1,0,0,0,0,0
9205,আসাম যাবো  ,0,1,0,0,0,0
16787,হ তার লেভেল আপনার মাথার উপরে  ,0,1,0,0,0,0
